line_id,date,description,amount,currency,classification,project_code,counterparty,fund,account,account_number,bank_account,mapping_method,rule_id,rule_version,decision_id,source_id,source_excerpt,source_location,close_id,export_profile
L-088,2026-03-31,"NORDVIK I.A.B. FUND I, TFR+ PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR PURCHAS 100PER OF LOAN, PRINCIP IN CEPHALUS BIOGAS 001 LTD, TOTAL COST LOAN PROJECT CEPHALUS",4232000.0,EUR,Investment Transfer,Cephalus,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,decision,,,DEC-081,SRC-PDF-D9705A79-P1,",902,055.44 11:01 31 Mar 2026 Narrative NORDVIK I.A.B. FUND I, TFR+ PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR PURCHAS 100PER OF LOAN, PRINCIP IN CEPHALUS BIOGAS 001 LTD, TOTAL COST LOAN PROJECT CEPHALUS ST65724109296034 52322485521381-4000 03",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-089,2026-03-31,"52322485521381-7786132265, TRENTBECK AUDIT",-19931.11,EUR,Vendor,Flag for review - no project match,Trentbeck Audit,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,rule,RULE-209,v1,,SRC-PDF-D9705A79-P1,",670,055.44 10:08 31 Mar 2026 Narrative 52322485521381-7786132265, TRENTBECK AUDIT QN29131563952037 22254822 92504555 4621",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-090,2026-03-31,"22254822 92504555 46212525, NIP PLATFORM SOLUTIONS APS",-509.8,EUR,Related Party,NIP Platform Solutions ApS,NIP PLATFORM SOLUTIONS APS,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,rule,RULE-206,v1,,SRC-PDF-D9705A79-P1,",689,986.55 10:08 31 Mar 2026 Narrative 22254822 92504555 46212525, NIP PLATFORM SOLUTIONS APS QUR35762JQ16VCY5 NONREF TFR+ 31 Mar 202",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-091,2026-03-31,"1/NI ABF I DEVCO APS, TFR+ Loan dist. - NI ABF I DevCo ApS to, NI ABF II SCSp related to contri. 5, ,6+ 7 in + dist. 1 in NI ABF I DevC, o ApS. Repay of loan principal. CHARGE WAIVED",3597561.92,EUR,Review,Flag for review - no project match,NI ABF I DevCo ApS,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,decision,,,DEC-082,SRC-PDF-D9705A79-P1,",690,496.35 05:12 31 Mar 2026 Narrative 1/NI ABF I DEVCO APS, TFR+ Loan dist. - NI ABF I DevCo ApS to, NI ABF II SCSp related to contri. 5, ,6+ 7 in + dist. 1 in NI ABF I DevC, o ApS. Repay of loan principal. CHARGE WAIVED 01 Apr 2026 | Account number 240-524291",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-092,2026-03-31,"NORDVIK I.A.B. FUND I, TFR+ OBO PMT FRM NI ABF II SCSP ON, BEHALF OF NI ABF II CO-INVEST SCSP, TO NI ABF I SCSP FOR ACQ OF 1 SHARE, IN CEPHALUS BIOGAS 001 LTD (EQUITY",1.62,EUR,Investment Transfer,Cephalus,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,decision,,,DEC-083,SRC-PDF-DDA3618A-P2,",092,934.43 23:04 31 Mar 2026 Narrative NORDVIK I.A.B. FUND I, TFR+ OBO PMT FRM NI ABF II SCSP ON, BEHALF OF NI ABF II CO-INVEST SCSP, TO NI ABF I SCSP FOR ACQ OF 1 SHARE, IN CEPHALUS BIOGAS 001 LTD (EQUITY 85202DA174BN CEPHALUS TRF TFR+ 31 Mar 2",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-093,2026-03-31,"NORDVIK I.A.B. FUND I, TFR+ OBO PMT FRM NI ABF II SCSP ON, BEHALF OF NI ABF II QFPF BLOC. SCSP, TO NI ABF I SCSP FOR ACQ OF 1 SHARE, IN CEPHALUS BIOGAS 001 LTD (EQUITY",1.62,EUR,Investment Transfer,Cephalus,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,decision,,,DEC-084,SRC-PDF-DDA3618A-P2,",092,932.81 23:04 31 Mar 2026 Narrative NORDVIK I.A.B. FUND I, TFR+ OBO PMT FRM NI ABF II SCSP ON, BEHALF OF NI ABF II QFPF BLOC. SCSP, TO NI ABF I SCSP FOR ACQ OF 1 SHARE, IN CEPHALUS BIOGAS 001 LTD (EQUITY TT NQK807SFXYKMA INTERNAL TRF TFR- CHG",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-094,2026-03-31,"COMMISSION EUR 6,00, 47223IZ05W0Z",-6.0,EUR,Other,OH - Bank Fees,,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,decision,,,DEC-085,SRC-PDF-DDA3618A-P2,",092,931.19 23:04 31 Mar 2026 Narrative COMMISSION EUR 6,00, 47223IZ05W0Z TT NQK807SFXYKMA INTERNAL TRF TFR- 31 M",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-095,2026-03-31,"NI ABF I SCSP, 47223IZ05W0Z, /DK6757710886323208 INTERNAL TRANSFER",-180000.0,EUR,Internal,OVERHEAD,NI ABF I SCSp,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,decision,,,DEC-086,SRC-PDF-DDA3618A-P2,",092,937.19 23:04 31 Mar 2026 Narrative NI ABF I SCSP, 47223IZ05W0Z, /DK6757710886323208 INTERNAL TRANSFER 36128KB34UJM SHORTTERM LOAN TFR- 31 Mar",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-096,2026-03-31,"NI ABF I FEEDER SCSP, STL COVER INVOICES",-20000.0,EUR,Related Party,OVERHEAD,NI ABF I Feeder SCSp,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,rule,RULE-206,v1,,SRC-PDF-DDA3618A-P2,",272,937.19 23:04 31 Mar 2026 Narrative NI ABF I FEEDER SCSP, STL COVER INVOICES 26623WD49U68 CEPHALUS TRF TFR+ 31 Mar 2",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-097,2026-03-31,"NORDVIK I.A.B. FUND I, TFR+ PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR ACQ 100PER OF SHARE IN, CEPHALUS BIOGAS 001 LTD REL COST (EQUITY) (PROJECT CEPHALUS)",46272.93,EUR,Investment Transfer,Cephalus,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,decision,,,DEC-087,SRC-PDF-DDA3618A-P2,",292,937.19 23:04 31 Mar 2026 Narrative NORDVIK I.A.B. FUND I, TFR+ PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR ACQ 100PER OF SHARE IN, CEPHALUS BIOGAS 001 LTD REL COST (EQUITY) (PROJECT CEPHALUS) HVJ01535FI1XKDJS NONREF TFR+ 27 Mar 202",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-098,2026-03-27,"1/COVBURY ENERGI A/S FENNSTEAD 41, TFR+ SARDONYX CLOSING, FX GBP 556598,00 AT 1,0389605 681960417, CHARGE WAIVED",632911.04,EUR,Review,Flag for review - no project match,,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,decision,,,DEC-088,SRC-PDF-DDA3618A-P2,",246,664.26 12:07 27 Mar 2026 Narrative 1/COVBURY ENERGI A/S FENNSTEAD 41, TFR+ SARDONYX CLOSING, FX GBP 556598,00 AT 1,0389605 681960417, CHARGE WAIVED NONREF NONREF TFR+ INT 24 Mar 2026 1,42",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-099,2026-03-24,CREDIT INTEREST,1423.44,EUR,Other,OH - Interest Income,,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,decision,,,DEC-089,SRC-PDF-D9705A79-P1,"unt Debit amount Balance Time Post date NONREF NONREF TFR- 31 Mar 2026 -0.44 13,217,77",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-100,2026-03-24,"BQVRFRPP, /FR6239723540911169279904595 CHARGE WAIVED",-129589.63,EUR,Internal,Flag for review - no project match,,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,decision,,,DEC-090,SRC-PDF-DDA3618A-P2,",612,329.78 23:28 24 Mar 2026 Narrative BQVRFRPP, /FR6239723540911169279904595 CHARGE WAIVED 01 Apr 2026 | Account number 240-524291",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
